facekit_cohort,syndrome_name,syndrome_id,internal_syndrome_name,internal_syndrome_id
"GONADAL DYSGENESIS, DYSMORPHIC FACIES, RETINAL DYSTROPHY, AND MYOPATHY; GDRM__b78493e0","GONADAL DYSGENESIS, DYSMORPHIC FACIES, RETINAL DYSTROPHY, AND MYOPATHY; GDRM",360,"GONADAL DYSGENESIS, DYSMORPHIC FACIES, RETINAL DYSTROPHY, AND MYOPATHY; GDRM",360
"SEIZURES, SCOLIOSIS, AND MACROCEPHALY_MICROCEPHALY SYNDROME; SSMS__d33ffac8","SEIZURES, SCOLIOSIS, AND MACROCEPHALY/MICROCEPHALY SYNDROME; SSMS",509,"SEIZURES, SCOLIOSIS, AND MACROCEPHALY/MICROCEPHALY SYNDROME; SSMS",509
HEART AND BRAIN MALFORMATION SYNDROME; HBMS__7f6df58a,HEART AND BRAIN MALFORMATION SYNDROME; HBMS,260,HEART AND BRAIN MALFORMATION SYNDROME; HBMS,260
"MULTIPLE PTERYGIUM SYNDROME, ESCOBAR VARIANT; EVMPS__f7e24667","MULTIPLE PTERYGIUM SYNDROME, ESCOBAR VARIANT; EVMPS",542,"MULTIPLE PTERYGIUM SYNDROME, ESCOBAR VARIANT; EVMPS",542
COHEN-GIBSON SYNDROME; COGIS__28c37e1f,COHEN-GIBSON SYNDROME; COGIS,316,COHEN-GIBSON SYNDROME; COGIS,316
RAFIQ SYNDROME; RAFQS__70008cea,RAFIQ SYNDROME; RAFQS,460,RAFIQ SYNDROME; RAFQS,460
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SHORT STATURE, FACIAL ANOMALIES, AND SPEECH DEFECTS; IDDSFAS__9366bcad","INTELLECTUAL DEVELOPMENTAL DISORDER WITH SHORT STATURE, FACIAL ANOMALIES, AND SPEECH DEFECTS; IDDSFAS",347,"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SHORT STATURE, FACIAL ANOMALIES, AND SPEECH DEFECTS; IDDSFAS",347
"MANDIBULOFACIAL DYSOSTOSIS, GUION-ALMEIDA TYPE; MFDGA__e6c924d6","MANDIBULOFACIAL DYSOSTOSIS, GUION-ALMEIDA TYPE; MFDGA",150,"MANDIBULOFACIAL DYSOSTOSIS, GUION-ALMEIDA TYPE; MFDGA",150
YWHAZ__b7724749,YWHAZ,349,YWHAZ,349
FAUNDES-BANKA SYNDROME; FABAS__e1ab88ff,FAUNDES-BANKA SYNDROME; FABAS,351,FAUNDES-BANKA SYNDROME; FABAS,351
FLOATING-HARBOR SYNDROME; FLHS__04847afa,FLOATING-HARBOR SYNDROME; FLHS,19,FLOATING-HARBOR SYNDROME; FLHS,19
"MYASTHENIC SYNDROME, CONGENITAL, 19; CMS19__5f2506e0","MYASTHENIC SYNDROME, CONGENITAL, 19; CMS19",429,"MYASTHENIC SYNDROME, CONGENITAL, 19; CMS19",429
KAUFMAN OCULOCEREBROFACIAL SYNDROME; KOS__f879521f,KAUFMAN OCULOCEREBROFACIAL SYNDROME; KOS,111,KAUFMAN OCULOCEREBROFACIAL SYNDROME; KOS,111
SULEIMAN-EL-HATTAB SYNDROME; SULEHS__c812c083,SULEIMAN-EL-HATTAB SYNDROME; SULEHS,395,SULEIMAN-EL-HATTAB SYNDROME; SULEHS,395
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 93; XLID93__fca47eb0","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 93; XLID93",135,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 93; XLID93",135
HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRDS__0c3b430c,HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRDS,206,HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRDS,206
Desbuquois dysplasia__6192a45e,Desbuquois dysplasia,428,Desbuquois dysplasia,428
Craniosynostosis__14868c16,Craniosynostosis,238,Craniosynostosis,238
"OHDO SYNDROME, SBBYS VARIANT; SBBYSS__0420737d","OHDO SYNDROME, SBBYS VARIANT; SBBYSS",38,"OHDO SYNDROME, SBBYS VARIANT; SBBYSS",38
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 95; DEE95__f74b3f48,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 95; DEE95,398,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 95; DEE95,398
LAMB-SHAFFER SYNDROME; LAMSHF__40c227d3,LAMB-SHAFFER SYNDROME; LAMSHF,300,LAMB-SHAFFER SYNDROME; LAMSHF,300
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 98; XLID98__fb2b6b21","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 98; XLID98",549,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 98; XLID98",549
SIX2__e58517dc,SIX2,278,SIX2,278
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, RAYMOND TYPE; MRXSR__d1f80503","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, RAYMOND TYPE; MRXSR",281,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, RAYMOND TYPE; MRXSR",281
Otofaciocervical syndrome__42db2f9a,Otofaciocervical syndrome,506,Otofaciocervical syndrome,506
"ALACRIMA, ACHALASIA, AND MENTAL RETARDATION SYNDROME; AAMR__6384cf75","ALACRIMA, ACHALASIA, AND MENTAL RETARDATION SYNDROME; AAMR",510,"ALACRIMA, ACHALASIA, AND MENTAL RETARDATION SYNDROME; AAMR",510
MICROCEPHALY-CAPILLARY MALFORMATION SYNDROME; MICCAP__f822b08f,MICROCEPHALY-CAPILLARY MALFORMATION SYNDROME; MICCAP,419,MICROCEPHALY-CAPILLARY MALFORMATION SYNDROME; MICCAP,419
"SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSIVE; SPG47__4fc297cf","SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSIVE; SPG47",451,"SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSIVE; SPG47",451
RAUCH-STEINDL SYNDROME; RAUST__26c31f00,RAUCH-STEINDL SYNDROME; RAUST,146,RAUCH-STEINDL SYNDROME; RAUST,146
Galloway-Mowat syndrome__ca7a8a42,Galloway-Mowat syndrome,174,Galloway-Mowat syndrome,174
"FACIAL PALSY, CONGENITAL, WITH PTOSIS AND VELOPHARYNGEAL DYSFUNCTION; FPVEPD__b7893387","FACIAL PALSY, CONGENITAL, WITH PTOSIS AND VELOPHARYNGEAL DYSFUNCTION; FPVEPD",196,"FACIAL PALSY, CONGENITAL, WITH PTOSIS AND VELOPHARYNGEAL DYSFUNCTION; FPVEPD",196
NANCE-HORAN SYNDROME; NHS__fbc32100,NANCE-HORAN SYNDROME; NHS,407,NANCE-HORAN SYNDROME; NHS,407
"Facial paresis, hereditary congenital__9cf26d12","Facial paresis, hereditary congenital",341,"Facial paresis, hereditary congenital",341
"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE__cc3a1bc4","CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE",467,"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE",467
"OTOPALATODIGITAL SYNDROME, TYPE I; OPD1__bf48aeee","OTOPALATODIGITAL SYNDROME, TYPE I; OPD1",213,"OTOPALATODIGITAL SYNDROME, TYPE I; OPD1",213
MOEBIUS SYNDROME; MBS__78b15e27,MOEBIUS SYNDROME; MBS,156,MOEBIUS SYNDROME; MBS,156
BARBER-SAY SYNDROME; BBRSAY__de7d9aea,BARBER-SAY SYNDROME; BBRSAY,326,BARBER-SAY SYNDROME; BBRSAY,326
Lissencephaly__08b4a0fa,Lissencephaly,530,Lissencephaly,530
"Central hypoventilation syndrome, congenital__7067945c","Central hypoventilation syndrome, congenital",560,"Central hypoventilation syndrome, congenital",560
EMANUEL SYNDROME__5bc03619,EMANUEL SYNDROME,577,EMANUEL SYNDROME,577
WARSAW BREAKAGE SYNDROME; WABS__7918ac00,WARSAW BREAKAGE SYNDROME; WABS,513,WARSAW BREAKAGE SYNDROME; WABS,513
Trichohepatoenteric syndrome__355e14a3,Trichohepatoenteric syndrome,136,Trichohepatoenteric syndrome,136
LACRIMOAURICULODENTODIGITAL SYNDROME; LADD__864b134f,LACRIMOAURICULODENTODIGITAL SYNDROME; LADD,525,LACRIMOAURICULODENTODIGITAL SYNDROME; LADD,525
"PINEAL HYPERPLASIA, INSULIN-RESISTANT DIABETES MELLITUS, AND SOMATIC ABNORMALITIES__4f470373","PINEAL HYPERPLASIA, INSULIN-RESISTANT DIABETES MELLITUS, AND SOMATIC ABNORMALITIES",499,"PINEAL HYPERPLASIA, INSULIN-RESISTANT DIABETES MELLITUS, AND SOMATIC ABNORMALITIES",499
VAN DER WOUDE SYNDROME 1; VWS1__93efcd11,VAN DER WOUDE SYNDROME 1; VWS1,329,VAN DER WOUDE SYNDROME 1; VWS1,329
"MYOPATHY, CONGENITAL, BAILEY-BLOCH; MYPBB__d8939ac9","MYOPATHY, CONGENITAL, BAILEY-BLOCH; MYPBB",427,"MYOPATHY, CONGENITAL, BAILEY-BLOCH; MYPBB",427
"SHORT STATURE, BRACHYDACTYLY, IMPAIRED INTELLECTUAL DEVELOPMENT, AND SEIZURES; SBIDDS__9c15138e","SHORT STATURE, BRACHYDACTYLY, IMPAIRED INTELLECTUAL DEVELOPMENT, AND SEIZURES; SBIDDS",317,"SHORT STATURE, BRACHYDACTYLY, IMPAIRED INTELLECTUAL DEVELOPMENT, AND SEIZURES; SBIDDS",317
CEREBELLOFACIODENTAL SYNDROME; CFDS__2870c0ef,CEREBELLOFACIODENTAL SYNDROME; CFDS,236,CEREBELLOFACIODENTAL SYNDROME; CFDS,236
"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B3; CMT4B3__5647be72","CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B3; CMT4B3",483,"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B3; CMT4B3",483
ACTL6A__eb14bc3f,ACTL6A,411,ACTL6A,411
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 23; MRD23__f7b673c7","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 23; MRD23",154,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 23; MRD23",154
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 54; DEE54__72f20d8d,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 54; DEE54,531,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 54; DEE54,531
"CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT SYNDROME WITH OR WITHOUT HEARING LOSS, ABNORMAL EARS, OR DEVELOPMENTAL __2a467a80","CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT SYNDROME WITH OR WITHOUT HEARING LOSS, ABNORMAL EARS, OR DEVELOPMENTAL DELAY; CAKUTHED",404,"CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT SYNDROME WITH OR WITHOUT HEARING LOSS, ABNORMAL EARS, OR DEVELOPMENTAL DELAY; CAKUTHED",404
JANSEN-DE VRIES SYNDROME; JDVS__7a3a4326,JANSEN-DE VRIES SYNDROME; JDVS,242,JANSEN-DE VRIES SYNDROME; JDVS,242
Infantile liver failure syndrome__5df372d4,Infantile liver failure syndrome,556,Infantile liver failure syndrome,556
JOHANSON-BLIZZARD SYNDROME; JBS__25d28c27,JOHANSON-BLIZZARD SYNDROME; JBS,166,JOHANSON-BLIZZARD SYNDROME; JBS,166
"Epilepsy, progressive myoclonic__8ea1d5e1","Epilepsy, progressive myoclonic",477,"Epilepsy, progressive myoclonic",477
NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND DYSMORPHIC FACIES; NEDHYDF__08d35e43,NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND DYSMORPHIC FACIES; NEDHYDF,440,NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND DYSMORPHIC FACIES; NEDHYDF,440
Mandibuloacral dysplasia with lipodystrophy__0a88630f,Mandibuloacral dysplasia with lipodystrophy,426,Mandibuloacral dysplasia with lipodystrophy,426
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, STEREOTYPIC HAND MOVEMENTS, AND IMPAIRED LANGUAGE; NEDHSIL__f8805041","NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, STEREOTYPIC HAND MOVEMENTS, AND IMPAIRED LANGUAGE; NEDHSIL",362,"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, STEREOTYPIC HAND MOVEMENTS, AND IMPAIRED LANGUAGE; NEDHSIL",362
MARFANOID-PROGEROID-LIPODYSTROPHY SYNDROME; MFLS__e82eee1d,MARFANOID-PROGEROID-LIPODYSTROPHY SYNDROME; MFLS,438,MARFANOID-PROGEROID-LIPODYSTROPHY SYNDROME; MFLS,438
"MACROCEPHALY, DYSMORPHIC FACIES, AND PSYCHOMOTOR RETARDATION; MDFPMR__4e186a0f","MACROCEPHALY, DYSMORPHIC FACIES, AND PSYCHOMOTOR RETARDATION; MDFPMR",533,"MACROCEPHALY, DYSMORPHIC FACIES, AND PSYCHOMOTOR RETARDATION; MDFPMR",533
CURRARINO SYNDROME__418ce1ec,CURRARINO SYNDROME,453,CURRARINO SYNDROME,453
"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE I; MOPD1__750138dc","MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE I; MOPD1",381,"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE I; MOPD1",381
"DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH__f97a6ff0","DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH",332,"DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH",332
MELNICK-NEEDLES SYNDROME; MNS__a4b6f2bd,MELNICK-NEEDLES SYNDROME; MNS,292,MELNICK-NEEDLES SYNDROME; MNS,292
KAGAMI-OGATA SYNDROME__74aae56d,KAGAMI-OGATA SYNDROME,406,KAGAMI-OGATA SYNDROME,406
MARFAN SYNDROME; MFS__f14dc6ac,MARFAN SYNDROME; MFS,369,MARFAN SYNDROME; MFS,369
DIGEORGE SYNDROME; DGS__9be90297,DIGEORGE SYNDROME; DGS,91,DIGEORGE SYNDROME; DGS,91
GLYCINE ENCEPHALOPATHY WITH NORMAL SERUM GLYCINE__f94484f0,GLYCINE ENCEPHALOPATHY WITH NORMAL SERUM GLYCINE,566,GLYCINE ENCEPHALOPATHY WITH NORMAL SERUM GLYCINE,566
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 13; MRT13__9b31f52c","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 13; MRT13",420,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 13; MRT13",420
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUJAN-FRYNS TYPE; MRXSLF__7eaf3509","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUJAN-FRYNS TYPE; MRXSLF",554,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUJAN-FRYNS TYPE; MRXSLF",554
PHELAN-MCDERMID SYNDROME; PHMDS__56c03ccc,PHELAN-MCDERMID SYNDROME; PHMDS,208,PHELAN-MCDERMID SYNDROME; PHMDS,208
PITT-HOPKINS-LIKE SYNDROME 1; PTHSL1__46de4f8b,PITT-HOPKINS-LIKE SYNDROME 1; PTHSL1,497,PITT-HOPKINS-LIKE SYNDROME 1; PTHSL1,497
NEURODEVELOPMENTAL DISORDER WITH SPASTIC DIPLEGIA AND VISUAL DEFECTS; NEDSDV__ef12cf11,NEURODEVELOPMENTAL DISORDER WITH SPASTIC DIPLEGIA AND VISUAL DEFECTS; NEDSDV,149,NEURODEVELOPMENTAL DISORDER WITH SPASTIC DIPLEGIA AND VISUAL DEFECTS; NEDSDV,149
DDX23__2f96bd74,DDX23,545,DDX23,545
CK SYNDROME; CKS__8063b5b6,CK SYNDROME; CKS,568,CK SYNDROME; CKS,568
"Mitochondrial complex V (ATP synthase) deficiency, nuclear type__d364ac08","Mitochondrial complex V (ATP synthase) deficiency, nuclear type",372,"Mitochondrial complex V (ATP synthase) deficiency, nuclear type",372
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 26; MRD26__8df6e56f","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 26; MRD26",251,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 26; MRD26",251
"SHORT STATURE, MICROCEPHALY, AND ENDOCRINE DYSFUNCTION; SSMED__754f8204","SHORT STATURE, MICROCEPHALY, AND ENDOCRINE DYSFUNCTION; SSMED",436,"SHORT STATURE, MICROCEPHALY, AND ENDOCRINE DYSFUNCTION; SSMED",436
"MICROCEPHALY, GROWTH DEFICIENCY, SEIZURES, AND BRAIN MALFORMATIONS; MIGSB__32d12b6f","MICROCEPHALY, GROWTH DEFICIENCY, SEIZURES, AND BRAIN MALFORMATIONS; MIGSB",538,"MICROCEPHALY, GROWTH DEFICIENCY, SEIZURES, AND BRAIN MALFORMATIONS; MIGSB",538
TONNE-KALSCHEUER SYNDROME; TOKAS__8bd5b15e,TONNE-KALSCHEUER SYNDROME; TOKAS,447,TONNE-KALSCHEUER SYNDROME; TOKAS,447
NABLUS MASK-LIKE FACIAL SYNDROME; NMLFS__f5885ad5,NABLUS MASK-LIKE FACIAL SYNDROME; NMLFS,293,NABLUS MASK-LIKE FACIAL SYNDROME; NMLFS,293
PLXND1__648a4358,PLXND1,468,PLXND1,468
REV3L__9cd868d0,REV3L,452,REV3L,452
"NEUROFIBROMATOSIS, TYPE I; NF1__f75bf71f","NEUROFIBROMATOSIS, TYPE I; NF1",180,"NEUROFIBROMATOSIS, TYPE I; NF1",180
"OTITIS MEDIA, SUSCEPTIBILITY TO; OMS__08bea86e","OTITIS MEDIA, SUSCEPTIBILITY TO; OMS",268,"OTITIS MEDIA, SUSCEPTIBILITY TO; OMS",268
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 7; MRT7__39924a69","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 7; MRT7",547,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 7; MRT7",547
BAKER-GORDON SYNDROME; BAGOS__e9d5cfae,BAKER-GORDON SYNDROME; BAGOS,498,BAKER-GORDON SYNDROME; BAGOS,498
CRANIOFACIAL MICROSOMIA; CFM__8a1d2548,CRANIOFACIAL MICROSOMIA; CFM,358,CRANIOFACIAL MICROSOMIA; CFM,358
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE; MRXSSR__aa0fc6e2","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE; MRXSSR",239,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE; MRXSSR",239
JAWAD SYNDROME; JWDS__bcffec93,JAWAD SYNDROME; JWDS,558,JAWAD SYNDROME; JWDS,558
ALLAN-HERNDON-DUDLEY SYNDROME; AHDS__ed136682,ALLAN-HERNDON-DUDLEY SYNDROME; AHDS,455,ALLAN-HERNDON-DUDLEY SYNDROME; AHDS,455
"Osteopetrosis, autosomal recessive__f65ee20e","Osteopetrosis, autosomal recessive",382,"Osteopetrosis, autosomal recessive",382
ROBINOW-SORAUF SYNDROME__30b2ec54,ROBINOW-SORAUF SYNDROME,444,ROBINOW-SORAUF SYNDROME,444
SWEENEY-COX SYNDROME; SWCOS__a88874bf,SWEENEY-COX SYNDROME; SWCOS,514,SWEENEY-COX SYNDROME; SWCOS,514
DUANE-RADIAL RAY SYNDROME; DRRS__30bbfa3b,DUANE-RADIAL RAY SYNDROME; DRRS,339,DUANE-RADIAL RAY SYNDROME; DRRS,339
ANGELMAN SYNDROME; AS__471b9572,ANGELMAN SYNDROME; AS,6,ANGELMAN SYNDROME; AS,6
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 70; DEE70__d41abf8f,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 70; DEE70,521,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 70; DEE70,521
FOXA2__a84d40d9,FOXA2,567,FOXA2,567
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 38; MRD38__b1564555","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 38; MRD38",552,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 38; MRD38",552
INTELLECTUAL DEVELOPMENTAL DISORDER WITH BEHAVIORAL ABNORMALITIES AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT SEIZURES;__c67a79d4,INTELLECTUAL DEVELOPMENTAL DISORDER WITH BEHAVIORAL ABNORMALITIES AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT SEIZURES; IDDBCS,540,INTELLECTUAL DEVELOPMENTAL DISORDER WITH BEHAVIORAL ABNORMALITIES AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT SEIZURES; IDDBCS,540
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CHRISTIANSON TYPE; MRXSCH__7bb9da0c","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CHRISTIANSON TYPE; MRXSCH",543,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CHRISTIANSON TYPE; MRXSCH",543
"CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN__10acfffb","CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN",227,"CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN",227
PROTEUS SYNDROME__63e99fb4,PROTEUS SYNDROME,366,PROTEUS SYNDROME,366
"CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMALIES, AND MENTAL RETARDATION SYNDROME; CFSMR__d608a659","CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMALIES, AND MENTAL RETARDATION SYNDROME; CFSMR",357,"CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMALIES, AND MENTAL RETARDATION SYNDROME; CFSMR",357
PFEIFFER SYNDROME__0d67235b,PFEIFFER SYNDROME,161,PFEIFFER SYNDROME,161
"DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, MENTAL RETARDATION, AND SEIZURES SYNDROME; DOORS__55d72104","DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, MENTAL RETARDATION, AND SEIZURES SYNDROME; DOORS",391,"DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, MENTAL RETARDATION, AND SEIZURES SYNDROME; DOORS",391
SALT AND PEPPER DEVELOPMENTAL REGRESSION SYNDROME; SPDRS__d61199f9,SALT AND PEPPER DEVELOPMENTAL REGRESSION SYNDROME; SPDRS,501,SALT AND PEPPER DEVELOPMENTAL REGRESSION SYNDROME; SPDRS,501
FRIAS SYNDROME__685cd448,FRIAS SYNDROME,569,FRIAS SYNDROME,569
PETTIGREW SYNDROME; PGS__544c4a5f,PETTIGREW SYNDROME; PGS,478,PETTIGREW SYNDROME; PGS,478
VAN DEN ENDE-GUPTA SYNDROME; VDEGS__f9b5ccdc,VAN DEN ENDE-GUPTA SYNDROME; VDEGS,474,VAN DEN ENDE-GUPTA SYNDROME; VDEGS,474
Neu-Laxova syndrome__0041c801,Neu-Laxova syndrome,504,Neu-Laxova syndrome,504
PETERS-PLUS SYNDROME; PTRPLS__55215399,PETERS-PLUS SYNDROME; PTRPLS,321,PETERS-PLUS SYNDROME; PTRPLS,321
FILIPPI SYNDROME; FLPIS__c9be4a0f,FILIPPI SYNDROME; FLPIS,462,FILIPPI SYNDROME; FLPIS,462
IMMUNODEFICIENCY 23; IMD23__d98d765b,IMMUNODEFICIENCY 23; IMD23,337,IMMUNODEFICIENCY 23; IMD23,337
CHROMOSOME 2q37 DELETION SYNDROME__da58b76a,CHROMOSOME 2q37 DELETION SYNDROME,311,CHROMOSOME 2q37 DELETION SYNDROME,311
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 2; DEE2__6171adca,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 2; DEE2,235,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 2; DEE2,235
"DEVELOPMENTAL DELAY, HYPOTONIA, MUSCULOSKELETAL DEFECTS, AND BEHAVIORAL ABNORMALITIES; DEHMBA__5e881bdf","DEVELOPMENTAL DELAY, HYPOTONIA, MUSCULOSKELETAL DEFECTS, AND BEHAVIORAL ABNORMALITIES; DEHMBA",189,"DEVELOPMENTAL DELAY, HYPOTONIA, MUSCULOSKELETAL DEFECTS, AND BEHAVIORAL ABNORMALITIES; DEHMBA",189
GENITOPATELLAR SYNDROME; GTPTS__ff92aaf1,GENITOPATELLAR SYNDROME; GTPTS,130,GENITOPATELLAR SYNDROME; GTPTS,130
PRADER-WILLI SYNDROME; PWS__38702d4d,PRADER-WILLI SYNDROME; PWS,131,PRADER-WILLI SYNDROME; PWS,131
"NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPOTONIA, SEIZURES, AND CEREBELLAR ATROPHY; NEDHSCA__f1d85e9a","NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPOTONIA, SEIZURES, AND CEREBELLAR ATROPHY; NEDHSCA",380,"NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPOTONIA, SEIZURES, AND CEREBELLAR ATROPHY; NEDHSCA",380
Spondylometaphyseal dysplasia__0474ec8e,Spondylometaphyseal dysplasia,502,Spondylometaphyseal dysplasia,502
ATP9A__9b1d8b86,ATP9A,482,ATP9A,482
MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND WITH OR WITHOUT AUTISTIC FEATURES__6ecd2ec1,MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND WITH OR WITHOUT AUTISTIC FEATURES,383,MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND WITH OR WITHOUT AUTISTIC FEATURES,383
Acromesomelic dysplasia__e6b8b46f,Acromesomelic dysplasia,479,Acromesomelic dysplasia,479
LAMB4__1f309599,LAMB4,526,LAMB4,526
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 84; DEE84__92ab7337,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 84; DEE84,476,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 84; DEE84,476
JARID2__2453534d,JARID2,557,JARID2,557
Spastic paraplegia__33f82337,Spastic paraplegia,505,Spastic paraplegia,505
